text,author,tags
"
      “Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”
  ","
    H. Jackson Brown Jr.,
  ","actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail"
"
      “It is better to be hated for what you are than to be loved for what you are not.”
  ","
    Andre Gide,
  ","life,love"
"
      “Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”
  ","
    Bob Marley
  ",love
"
      “All that is gold does not glitter,","
    J.R.R. Tolkien,
  ","frost,glitter,gold,lost,poetry,roots,strength,strong,wander,wither"
"
      “It is our choices, Harry, that show what we truly are, far more than our abilities.”
  ","
    J.K. Rowling,
  ","abilities,choices"
"
      “The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”
  ","
    Jane Austen,
  ","aliteracy,books,classic,humor"
"
      “Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”
  ","
    Marilyn Monroe
  ","attributed-no-source,be-yourself,inspirational"
"
      “It does not do to dwell on dreams and forget to live.”
  ","
    J.K. Rowling,
  ","dreams,life"
"
      “There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
  ","
    Albert Einstein
  ","attributed-no-source,inspirational,life,live,miracle,miracles"
"
      “As he read, I fell in love the way you fall asleep: slowly, and then all at once.”
  ","
    John Green,
  ",love
"
      “Good friends, good books, and a sleepy conscience: this is the ideal life.”
  ","
    Mark Twain
  ","books,contentment,friends,friendship,life"
"
      “It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”
  ","
    Maurice Switzer,
  ","misattributed-to-abraham-lincoln,misattributed-to-mark-twain,remaining-silent,wisdom"
"
      “We are all in the gutter, but some of us are looking at the stars.”
  ","
    Oscar Wilde,
  ","inspirational,optimism,perception,pessimism"
"
      “The fool doth think he is wise, but the wise man knows himself to be a fool.”
  ","
    William Shakespeare,
  ",wisdom
"
      “Life is what happens to us while we are making other plans.”
  ","
    Allen Saunders
  ","fate,life,misattributed-john-lennon,planning,plans"
"
      “Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”
  ","
    Mark Twain
  ","individuality,majority,minority,pause,reflect,wisdom"
"
      “Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”
  ","
    Neil Gaiman,
  ","books,dragons,fairy-tales,inspirational,paraphrasing-g-k-chesterton"
"
      “Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”
  ","
    Bill Keane
  ","attributed-no-source,hope,inspirational,misattributed-eleanor-roosevelt,past,present,widely-misattributed"
"
      “I have not failed. I've just found 10,000 ways that won't work.”
  ","
    Thomas A. Edison
  ","edison,failure,inspirational,paraphrased"
"
      “A woman is like a tea bag; you never know how strong it is until it's in hot water.”
  ","
    Eleanor Roosevelt
  ","attributed-no-source,misattributed-eleanor-roosevelt"
"
      “The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”
  ","
    Elie Wiesel
  ","activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
"
      “It is not a lack of love, but a lack of friendship that makes unhappy marriages.”
  ","
    Friedrich Nietzsche
  ","friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
"
      “The man who does not read has no advantage over the man who cannot read.”
  ","
    Mark Twain
  ","aliteracy,attributed-no-source,literacy"
"
      “If you don't stand for something you will fall for anything.”
  ","
    Gordon A. Eadie
  ","belief,integrity,misattributed-to-malcolm-x,misattributed-to-rosa-parks"
"
      “I may not have gone where I intended to go, but I think I have ended up where I needed to be.”
  ","
    douglas adams,
  ","life,navigation"
"
      “I solemnly swear that I am up to no good.”
  ","
    J.K. Rowling,
  ",mischief
"
      “I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”
  ","
    Pablo Neruda,
  ","love,poetry"
"
      “Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”
  ","
    Groucho Marx,
  ","animals,books,dogs,friends,humor"
"
      “I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”
  ","
    Albert Einstein
  ","1929,imagination,inspirational,viereck-interview"
"
      “I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”
  ","
    Dr. Seuss
  ",fantasy
"
      “Love all, trust a few, do wrong to none.”
  ","
    William Shakespeare,
  ","do-wrong,love,trust,wrong"
"
      “Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”
  ","
    Neil Gaiman,
  ",love
"
      “A day without sunshine is like, you know, night.”
  ","
    Steve Martin
  ","humor,obvious,simile"
"
      “Never put off till tomorrow what may be done day after tomorrow just as well.”
  ","
    Mark Twain
  ","humor,procrastination"
"
      “","
    Kent M. Keith,
  ","forgiveness,goodness,happiness,honesty,kindness,misattributed-to-mother-teresa,world"
"
      “A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”
  ","
    George R.R. Martin,
  ","read,readers,reading,reading-books"
"
      “You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”
  ","
    Dr. Seuss,
  ",inspirational
"
      “That which does not kill us makes us stronger.”
  ","
    Friedrich Nietzsche
  ","paraphrased,strength"
"
      “Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”
  ","
    Lao Tzu
  ","courage,deeply-loved,love,strength,widely-misattributed"
"
      “It is never too late to be what you might have been.”
  ","
    George Eliot
  ","inspirational,source-unknown"
"
      “For every minute you are angry you lose sixty seconds of happiness.”
  ","
    Ralph Waldo Emerson
  ",happiness
"
      “It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”
  ","
    J.K. Rowling,
  ","courage,friends"
"
      “This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”
  ","
    Marilyn Monroe
  ","attributed-no-source,friends,heartbreak,inspirational,life,love,sisters"
"
      “I love deadlines. I love the whooshing noise they make as they go by.”
  ","
    Douglas Adams,
  ","deadlines,humor,humour,work,writing"
"
      “If you judge people, you have no time to love them.”
  ","
    Mother Teresa
  ",attributed-no-source
"
      “There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”
  ","
    Sarah Dessen,
  ",love
"
      “My thoughts are stars I cannot fathom into constellations.”
  ","
    John Green,
  ",
"
      “If you can't explain it to a six year old, you don't understand it yourself.”
  ","
    Albert Einstein
  ","attributed-no-source,simplicity,understand"
"
      “Love is that condition in which the happiness of another person is essential to your own.”
  ","
    Robert A. Heinlein,
  ","essential,happiness,love"
"
      “I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”
  ","
    Friedrich Nietzsche
  ","lies,lying,trust"
"
      “There is no greater agony than bearing an untold story inside you.”
  ","
    Maya Angelou,
  ","1970,inspirational,stories,writing"
"
      “Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
  ","
    Garrison Keillor
  ","humor,religion"
"
      “I have always imagined that Paradise will be a kind of library.”
  ","
    Jorge Luis Borges
  ","books,library"
"
      “Everything you can imagine is real.”
  ","
    Pablo Picasso
  ","art,imagination,inspirational,life"
"
      “Women and cats will do as they please, and men and dogs should relax and get used to the idea.”
  ","
    Robert A. Heinlein
  ","cats,humor,women"
"
      “If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”
  ","
    Haruki Murakami,
  ","books,thought"
"
      “We don't see things as they are, we see them as we are.”
  ","
    Anaïs Nin
  ",
"
      “Sometimes the questions are complicated and the answers are simple.”
  ","
    Dr. Seuss
  ","attributed-no-source,life"
"
      “You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”
  ","
    Bob Marley
  ",love
"
      “We read to know we're not alone.”
  ","
    William Nicholson,
  ","misattributed-to-c-s-lewis,reading"
"
      “You love me. Real or not real?""","
    Suzanne Collins,
  ","katniss,love,peeta,suzanne-collins,the-hunger-games"
"
      “Never trust anyone who has not brought a book with them.”
  ","
    Lemony Snicket,
  ","books,reading"
"
      “You can never get a cup of tea large enough or a book long enough to suit me.”
  ","
    C.S. Lewis
  ","books,inspirational,reading,tea"
"
      “Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”
  ","
    John Green,
  ","books,power-of-words,reading"
"
      “All you need is love. But a little chocolate now and then doesn't hurt.”
  ","
    Charles M. Schulz
  ","chocolate,food,humor"
"
      “Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”
  ","
    J.K. Rowling,
  ",dumbledore
"
      “Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
  ","
    Jim Henson
  ",humor
"
      “It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”
  ","
    J.K. Rowling
  ",
"
      “Today you are You, that is truer than true. There is no one alive who is Youer than You.”
  ","
    Dr. Seuss,
  ","comedy,life,yourself"
"
      “To the well-organized mind, death is but the next great adventure.”
  ","
    J.K. Rowling,
  ","death,inspirational"
"
      “I'm not afraid of death; I just don't want to be there when it happens.”
  ","
    Woody Allen
  ","death,fear,humor,life"
"
      “Life isn't about finding yourself. Life is about creating yourself.”
  ","
    George Bernard Shaw
  ","inspirational,life,yourself"
"
      “If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”
  ","
    Albert Einstein
  ","attributed-no-source,children,fairy-tales"
"
      “If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”
  ","
    Oscar Wilde
  ","books,reading"
"
      “Have you fallen in love with the wrong person yet?'","
    Cassandra Clare,
  ","city-of-bones,jace"
"
      “Whenever I feel the need to exercise, I lie down until it goes away.”
  ","
    Paul   Terry
  ","exercise,humor,laziness,misattributed-to-hutchins"
"
      “Logic will get you from A to Z; imagination will get you everywhere.”
  ","
    Albert Einstein
  ","attributed-no-source,imagination"
"
      “I'm in love with you,"" he said quietly.","
    John Green,
  ","doomed,inevitable,love,oblivion,pleasure,simple"
"
      “I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”
  ","
    Nicholas Sparks,
  ",love
"
      “You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”
  ","
    John Green,
  ","satisfaction,self-determination"
"
      “Sometimes people are beautiful.","
    Markus Zusak,
  ","beauty,life"
"
      “The more that you read, the more things you will know. The more that you learn, the more places you'll go.”
  ","
    Dr. Seuss,
  ","learning,reading,seuss"
"
      “Folks are usually about as happy as they make their minds up to be.”
  ","
    Abraham Lincoln
  ","attributed-no-source,happiness"
"
      “The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”
  ","
    Bob Marley
  ",friendship
"
      “Love looks not with the eyes, but with the mind,","
    William Shakespeare,
  ",love
"
      “Do what you can, with what you have, where you are.”
  ","
    Theodore Roosevelt
  ",inspirational
"
      “One good thing about music, when it hits you, you feel no pain.”
  ","
    Bob Marley
  ",music
"
      “There is no friend as loyal as a book.”
  ","
    Ernest Hemingway
  ","books,friends,novelist-quotes"
"
      “Not all of us can do great things. But we can do small things with great love.”
  ","
    Mother Teresa
  ","misattributed-to-mother-teresa,paraphrased"
"
      “I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”
  ","
    Groucho Marx 
  ","books,humor,reading,television"
"
      “If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”
  ","
    Joan Powers,
  ","friendship,misattributed-a-a-milne"
"
      “Love is like the wind, you can't see it but you can feel it.”
  ","
    Nicholas Sparks,
  ","love,simile"
"
      “Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”
  ","
    Shel Silverstein
  ","anything-can-be,hope,impossible,inspirational,musn-t,possibilities,shouldn-t,won-t"
"
      “Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”
  ","
    John Green
  ","humor,nerdfighters"
"
      “The story so far:","
    Douglas Adams,
  ","humor,scifi"
"
      “When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”
  ","
    Helen Keller
  ",inspirational
"
      “Success is not final, failure is not fatal: it is the courage to continue that counts.”
  ","
    Winston S. Churchill
  ","bravery,courage,failure,inspirational,success"
"
      “It matters not what someone is born, but what they grow to be.”
  ","
    J.K. Rowling,
  ",dumbledore
"
      “People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. ","
    Elizabeth Gilbert,
  ",love
"
      “You don't love someone because they're perfect, you love them in spite of the fact that they're not.”
  ","
    Jodi Picoult,
  ","imperfect,love"
"
      “The difference between genius and stupidity is: genius has its limits.”
  ","
    Alexandre Dumas-fils
  ",misattributed-to-einstein
"
      “Life is like riding a bicycle. To keep your balance, you must keep moving.”
  ","
    Albert Einstein
  ","life,simile"
"
      “You don’t ","
    Walter M. Miller Jr.,
  ","body-soul,misattributed-to-c-s-lewis"
"
      “So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”
  ","
    Stephen Chbosky,
  ","charlie,favourite-books,inspirational,sad,soul-searching,wallflower"
"
      “If you can make a woman laugh, you can make her do anything.”
  ","
    Marilyn Monroe
  ","attributed-no-source,girls,love"
"
      “We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”
  ","
    Robert Fulghum,
  ","love,weirdness"
"
      “There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”
  ","
    Jane Austen,
  ","friendship,love"
"
      “Some people never go crazy. What truly horrible lives they must lead.”
  ","
    Charles Bukowski
  ",humor
"
      “I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”
  ","
    Virginia Woolf,
  ",women
"
      “Some infinities are bigger than other infinities.”
  ","
    John Green,
  ","infinity,john-green,life,tfios,the-fault-in-our-stars"
"
      “Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”
  ","
    Anais Nin
  ","death,love"
"
      “What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”
  ","
    J.D. Salinger,
  ","authors,books,literature,reading,writing"
"
      “Do one thing every day that scares you.”
  ","
    Eleanor Roosevelt
  ","attributed,fear,inspiration"
"
      “The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”
  ","
    Terry Pratchett,
  ","humor,open-mind,thinking"
"
      “It is what you read when you don't have to that determines what you will be when you can't help it.”
  ","
    Oscar Wilde
  ","books,reading"
"
      “Time you enjoy wasting is not wasted time.”
  ","
    Marthe Troly-Curtin,
  ","happiness,misattributed-john-lennon,procrastination,time"
"
      “If I had a flower for every time I thought of you...I could walk through my garden forever.”
  ","
    Alfred Tennyson
  ","friendship,love"
"
      “Reality continues to ruin my life.”
  ","
    Bill Watterson,
  ","calvin-and-hobbes,humor,life"
"
      “Not all those who wander are lost.”
  ","
    J.R.R. Tolkien,
  ","bilbo,journey,lost,quest,travel,wander"
"
      “The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
  ","
    Marilyn Monroe
  ","attributed-no-source,love"
"
      “Who are you to judge the life I live?","
    Bob Marley
  ","judge,life,live,perfection"
"
      “There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”
  ","
    Cassandra Clare,
  ","mortal-instruments,romance,teen-fantasy"
"
      “Things change. And friends leave. Life doesn't stop for anybody.”
  ","
    Stephen Chbosky,
  ","change,life"
"
      “One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”
  ","
    Cassandra Clare,
  ",books
"
      “Piglet sidled up to Pooh from behind. ","
    A.A. Milne,
  ","friendship,piglet,pooh,reassurance"
"
      “He's like a drug for you, Bella.”
  ","
    Stephenie Meyer,
  ","drug,romance,simile"
"
      “A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”
  ","
    Marilyn Monroe
  ",attributed-no-source
"
      “The only way out of the labyrinth of suffering is to forgive.”
  ","
    John Green,
  ","compassion,life,suffering"
"
      “Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”
  ","
    J.K. Rowling,
  ",live-death-love
"
      “To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”
  ","
    C.S. Lewis,
  ",love
"
      “If there's a book that you want to read, but it hasn't been written yet, then you must write it.”
  ","
    Toni Morrison
  ","books,writing"
"
      “Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.","
    J.K. Rowling,
  ","dumbledore,life,love,snape"
"
      “The reason I talk to myself is because I’m the only one whose answers I accept.”
  ","
    George Carlin
  ","humor,insanity,lies,lying,self-indulgence,truth"
"
      “Go to heaven for the climate and hell for the company.”
  ","
    Benjamin Franklin Wade 
  ","humor,misattributed-mark-twain,philosophy,theology"
"
      “When someone loves you, the way they talk about you is different. You feel safe and comfortable.”
  ","
    Jess C. Scott,
  ","desire,emotion,friendship,honesty,imagination,individuality,life,love,passion,reality,relationships,romance,truth,wisdom,wise-words"
"
      “I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”
  ","
    Marilyn Monroe
  ",attributed-no-source
"
      “There is nothing to writing. All you do is sit down at a typewriter and bleed.”
  ","
    Ernest Hemingway
  ","good,writing"
"
      “You should date a girl who reads.","
    Rosemarie Urquico
  ",
"
      “He has achieved success who has lived well, laughed often, and loved much;","
    Bessie Anderson Stanley,
  ","life,misattributed-to-emerson,success,widely-misattributed"
"
      “You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”
  ","
    John Lennon
  ","beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace"
"
      “I love mankind ... it's people I can't stand!!”
  ","
    Charles M. Schulz
  ","humor,mankind,people"
"
      “I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.”
  ","
    Neil Gaiman,
  ","dying,facts,fame,knowing,love,poverty,reality,school,teach,wealth"
"
      “You don’t forget the face of the person who was your last hope.”
  ","
    Suzanne Collins,
  ",the-hunger-games
"
      “And, when you want something, all the universe conspires in helping you to achieve it.”
  ","
    Paulo Coelho,
  ",inspirational
"
      “I am free of all prejudice. I hate everyone equally. ”
  ","
    W.C. Fields
  ","humor,sinister"
"
      “′Classic′ - a book which people praise and don't read.”
  ","
    Mark Twain
  ","books,classic,reading"
"
      “I wish it need not have happened in my time,"" said Frodo.","
    J.R.R. Tolkien,
  ","adventuring,death,time"
"
      “I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”
  ","
    Jane Austen,
  ","books,library,reading"
"
      “Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”
  ","
    Ralph Waldo Emerson
  ","life,regrets"
"
      “The marks humans leave are too often scars.”
  ","
    John Green,
  ","humans,pain,scars"
"
      “I have never let my schooling interfere with my education.”
  ","
    Mark Twain
  ","attributed-no-source,education"
"
      “Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”
  ","
    Suzanne Collins,
  ",humor
"
      “What a slut time is. She screws everybody.”
  ","
    John Green,
  ",
"
      “You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”
  ","
    Harper Lee,
  ",better-life-empathy
"
      “To die will be an awfully big adventure.”
  ","
    J.M. Barrie,
  ","adventure,love"
"
      “Anyone who has never made a mistake has never tried anything new.”
  ","
    Albert Einstein
  ","attributed-no-source,mistakes"
"
      “It takes courage to grow up and become who you really are.”
  ","
    E.E. Cummings
  ","attributed-no-source,courage"
"
      “Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.”
  ","
    John Green,
  ","books,reading"
